seed,model_label,runtime_minutes
42,TFIDF_LogReg,0.25620686610539756
42,TFIDF_LinearSVM,0.2611666560173035
42,BERT,27.204614770412444
42,ALBERT,32.49690850973129
42,RoBERTa,28.55098329782486
123,TFIDF_LogReg,0.2950160543123881
123,TFIDF_LinearSVM,0.29597565333048503
123,BERT,29.026347104708353
123,ALBERT,32.77015504042308
123,RoBERTa,21.934261775016786
2024,TFIDF_LogReg,0.2951377868652344
2024,TFIDF_LinearSVM,0.293940015633901
2024,BERT,28.477171917756397
2024,ALBERT,32.632742877801256
2024,RoBERTa,27.910631732145944
